func_name,cpy_type,start_sec,start_nsec,end_sec,end_nsec,count
"cudaMemcpy",1,1481984227,494864481,1481984227,494887458,1280
"cudaMemcpy",1,1481984227,494975817,1481984227,494982026,1280
"cudaMemcpy",2,1481984227,650993719,1481984227,651008299,1280
